word	time	filler
TNPI		1
Prior		1
After		1
TNPI		1
IT		1
		2
		1
		1
The		1
Unless		2
The		3
To		4
To		3
The		3
The		2
Unless		2
To		5
The		2
The		6
To		5
Unless		5
The		5
To		2
To		3
To		5
To		2
To		2
To		3
To		3
The		3
The		5
To		5
To		3
The		3
In		2
To		6
To		3
The		6
To		2
Unless		3
The		0
The		3
To		3
To		3
Unless		5
The		4
Unless		2
To		3
The		2
Unless		3
To		3
To		3
Within		3
To		0
37.		6
The		3
The		5
To		2
To		2
75.		0
Unless		5
To		7
To		5
The		5
The		8
To		2
To		4
To		4
The		3
To		2
49.		2
To		3
The		2
To		5
The		3
To		3
To		3
The		2
To		5
Prior		2
The		3
To		2
To		3
To		6
BCTC		5
Unless		0
BCTC		7
Within		0
		0
Dome		0
Dome		5
Dome		5
Dome		5
Migratory		3
Horizontal		2
		2
Horizontal		5
8.		2
Protection		2
Keystone		2
Comprehensive		3
Survey		2
SARA		2
		2
Comprehensive		2
Heritage		2
Migratory		5
Environmental		2
Keystone		5
Migratory		0
SARA		2
Condition		2
8.		0
Migratory		2
Horizontal		2
Comprehensive		2
Aboriginal		2
Certificate		5
		7
SARA		2
Pipe		2
Survey		3
11.		2
Greenhouse		2
Heritage		2
		5
Pre-construction		2
		2
Comprehensive		5
Horizontal		2
		2
Ongoing		2
Keystone		5
SARA		0
Environmental		2
SARA		2
Environmental		2
Survey		2
		2
Heritage		5
Pre-construction		5
		2
Aboriginal		2
13.		5
8.		5
10.		5
6.		3
18.		5
17.		2
1.		5
14.		0
12.		9
24.		2
28.		2
15.		7
9.		5
7.		3
2.		5
4.		0
26.		2
19.		2
11.		6
20.		5
22.		2
5.		2
25.		2
16.		2
23.		5
3.		4
27.		0
21.		0
The		2
The		5
from		5
Unless		5
from		7
Manitoba		5
Unless		5
Unless		1
Unless		3
		1
		1
Unless		1
Unless		1
Unless		1
TransCanada		1
Westcoast		1
Westcoast		5
Westcoast		2
Westcoast		4
Westcoast		2
Westcoast		0
Unless		2
Westcoast		3
Unless		2
Westcoast		3
Westcoast		6
Westcoast		2
Westcoast		2
Westcoast		2
Within		5
Westcoast		0
Westcoast		2
Westcoast		2
Westcoast		2
Westcoast		2
Westcoast		2
Westcoast		0
Westcoast		2
Westcoast		2
Westcoast		2
Westcoast		2
Unless		5
Westcoast		7
Westcoast		3
Westcoast		5
Westcoast		2
)Westcoast		5
Westcoast		3
Westcoast		5
Westcoast		9
Westcoast		2
Westcoast		5
Westcoast		3
Westcoast		5
Westcoast		5
Westcoast		2
Westcoast		5
Westcoast		0
Westcoast		5
Westcoast		2
Westcoast		5
Westcoast		2
Westcoast		2
Talisman		2
Talisman		0
Talisman		0
Unless		5
MPL		7
MPL		0
MPL		0
Within		0
Westcoast		0
Unless		2
Within		7
Westcoast		0
Westcoast		0
Hydro		0
Hydro		0
"""Hydro"		0
Unless		2
Within		7
Hydro		0
Hydro		0
CFOL		5
In		2
In		2
On		2
In		2
CFOL		2
CFOL		2
In		0
CFOL		2
CFOL		5
CFOL		2
CFOL		3
Unless		3
CFOL		7
CFOL		3
CFOL		2
On		0
CFOL		2
On		2
CFOL		2
CFOL		3
CFOL		2
In		5
In		2
CFOL		2
CFOL		6
CFOL		2
CFOL		3
CFOL		5
CFOL		3
CFOL		5
On		2
CFOL		2
CFOL		3
On		4
In		2
In		2
In		2
In		2
CFOL		2
On		2
CFOL		2
CFOL		5
CFOL		3
CFOL		3
CFOL		0
In		5
In		2
CFOL		2
NGTL		2
Unless		3
NGTL		7
NGTL		0
Within		0
Westcoast		0
Unless		4
Westcoast		7
Westcoast		3
Westcoast		5
On		0
Westcoast		2
Westcoast		5
		2
		5
Aquatic		6
9		2
Prior		9
		2
Greenhouse		2
Prior		2
Heritage		5
9		5
