nothing	word	time	filler
TNPI	"""TNPI"""	12	1
Prior	"""Prior"""	12	1
After	"""After"""	12	1
TNPI	"""TNPI"""	12	1
IT	"""IT"""	12	1
	""""""	12	2
	""""""	12	1
	""""""	12	1
The	"""The"""	12	1
Unless	"""Unless"""	12	2
The	"""The"""	12	3
To	"""To"""	12	4
To	"""To"""	12	3
The	"""The"""	12	3
The	"""The"""	12	2
Unless	"""Unless"""	12	2
To	"""To"""	12	5
The	"""The"""	12	2
The	"""The"""	12	6
To	"""To"""	12	5
Unless	"""Unless"""	12	5
The	"""The"""	12	5
To	"""To"""	12	2
To	"""To"""	12	3
To	"""To"""	12	5
To	"""To"""	12	2
To	"""To"""	12	2
To	"""To"""	12	3
To	"""To"""	12	3
The	"""The"""	12	3
The	"""The"""	12	5
To	"""To"""	12	5
To	"""To"""	12	3
The	"""The"""	12	3
In	"""In"""	12	2
To	"""To"""	12	6
To	"""To"""	12	3
The	"""The"""	12	6
To	"""To"""	12	2
Unless	"""Unless"""	12	3
The	"""The"""	12	0
The	"""The"""	12	3
To	"""To"""	12	3
To	"""To"""	12	3
Unless	"""Unless"""	12	5
The	"""The"""	12	4
Unless	"""Unless"""	12	2
To	"""To"""	12	3
The	"""The"""	12	2
Unless	"""Unless"""	12	3
To	"""To"""	12	3
To	"""To"""	12	3
file	"""file"""	12	3
To	"""To"""	12	0
37.	"""37."""	12	6
The	"""The"""	12	3
The	"""The"""	12	5
To	"""To"""	12	2
To	"""To"""	12	2
75.	"""75."""	12	0
Unless	"""Unless"""	12	5
To	"""To"""	12	7
To	"""To"""	12	5
The	"""The"""	12	5
The	"""The"""	12	8
To	"""To"""	12	2
To	"""To"""	12	4
To	"""To"""	12	4
The	"""The"""	12	3
To	"""To"""	12	2
49.	"""49."""	12	2
To	"""To"""	12	3
The	"""The"""	12	2
To	"""To"""	12	5
The	"""The"""	12	3
To	"""To"""	12	3
To	"""To"""	12	3
The	"""The"""	12	2
To	"""To"""	12	5
Prior	"""Prior"""	12	2
The	"""The"""	12	3
To	"""To"""	12	2
To	"""To"""	12	3
To	"""To"""	12	6
BCTC	"""BCTC"""	12	5
Unless	"""Unless"""	12	0
BCTC	"""BCTC"""	12	7
file	"""file"""	12	0
	""""""	12	0
Dome	"""Dome"""	12	0
Dome	"""Dome"""	12	5
Dome	"""Dome"""	12	5
Dome	"""Dome"""	12	5
Migratory	"""Migratory"""	12	3
Horizontal	"""Horizontal"""	12	2
	""""""	12	2
Horizontal	"""Horizontal"""	12	5
8.	"""8."""	12	2
Protection	"""Protection"""	12	2
Keystone	"""Keystone"""	12	2
Comprehensive	"""Comprehensive"""	12	3
Survey	"""Survey"""	12	2
SARA	"""SARA"""	12	2
	""""""	12	2
Comprehensive	"""Comprehensive"""	12	2
Heritage	"""Heritage"""	12	2
Migratory	"""Migratory"""	12	5
Environmental	"""Environmental"""	12	2
Keystone	"""Keystone"""	12	5
Migratory	"""Migratory"""	12	0
SARA	"""SARA"""	12	2
Condition	"""Condition"""	12	2
8.	"""8."""	12	0
Migratory	"""Migratory"""	12	2
Horizontal	"""Horizontal"""	12	2
Comprehensive	"""Comprehensive"""	12	2
Aboriginal	"""Aboriginal"""	12	2
Certificate	"""Certificate"""	12	5
	""""""	12	7
SARA	"""SARA"""	12	2
Pipe	"""Pipe"""	12	2
Survey	"""Survey"""	12	3
11.	"""11."""	12	2
Greenhouse	"""Greenhouse"""	12	2
Heritage	"""Heritage"""	12	2
	""""""	12	5
Pre-construction	"""Pre-construction"""	12	2
	""""""	12	2
Comprehensive	"""Comprehensive"""	12	5
Horizontal	"""Horizontal"""	12	2
	""""""	12	2
Ongoing	"""Ongoing"""	12	2
Keystone	"""Keystone"""	12	5
SARA	"""SARA"""	12	0
Environmental	"""Environmental"""	12	2
SARA	"""SARA"""	12	2
Environmental	"""Environmental"""	12	2
Survey	"""Survey"""	12	2
	""""""	12	2
Heritage	"""Heritage"""	12	5
Pre-construction	"""Pre-construction"""	12	5
	""""""	12	2
Aboriginal	"""Aboriginal"""	12	2
13.	"""13."""	12	5
8.	"""8."""	12	5
10.	"""10."""	12	5
6.	"""6."""	12	3
18.	"""18."""	12	5
17.	"""17."""	12	2
1.	"""1."""	12	5
14.	"""14."""	12	0
12.	"""12."""	12	9
24.	"""24."""	12	2
28.	"""28."""	12	2
15.	"""15."""	12	7
9.	"""9."""	12	5
7.	"""7."""	12	3
2.	"""2."""	12	5
4.	"""4."""	12	0
26.	"""26."""	12	2
19.	"""19."""	12	2
11.	"""11."""	12	6
20.	"""20."""	12	5
22.	"""22."""	12	2
5.	"""5."""	12	2
25.	"""25."""	12	2
16.	"""16."""	12	2
23.	"""23."""	12	5
3.	"""3."""	12	4
27.	"""27."""	12	0
21.	"""21."""	12	0
The	"""The"""	12	2
The	"""The"""	12	5
from	"""from"""	12	5
Unless	"""Unless"""	12	5
from	"""from"""	12	7
Manitoba	"""Manitoba"""	12	5
Unless	"""Unless"""	12	5
Unless	"""Unless"""	12	1
Unless	"""Unless"""	12	3
	""""""	12	1
	""""""	12	1
Unless	"""Unless"""	12	1
Unless	"""Unless"""	12	1
Unless	"""Unless"""	12	1
TransCanada	"""TransCanada"""	12	1
Westcoast	"""Westcoast"""	12	1
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	4
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	0
Unless	"""Unless"""	12	2
Westcoast	"""Westcoast"""	12	3
Unless	"""Unless"""	12	2
Westcoast	"""Westcoast"""	12	3
Westcoast	"""Westcoast"""	12	6
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	2
file	"""file"""	12	5
Westcoast	"""Westcoast"""	12	0
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	0
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	2
Unless	"""Unless"""	12	5
Westcoast	"""Westcoast"""	12	7
Westcoast	"""Westcoast"""	12	3
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	2
)Westcoast	""")Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	3
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	9
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	3
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	0
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	2
Talisman	"""Talisman"""	12	2
Talisman	"""Talisman"""	12	0
Talisman	"""Talisman"""	12	0
Unless	"""Unless"""	12	5
MPL	"""MPL"""	12	7
MPL	"""MPL"""	12	0
MPL	"""MPL"""	12	0
file	"""file"""	12	0
Westcoast	"""Westcoast"""	12	0
Unless	"""Unless"""	12	2
file	"""file"""	12	7
Westcoast	"""Westcoast"""	12	0
Westcoast	"""Westcoast"""	12	0
Hydro	"""Hydro"""	12	0
Hydro	"""Hydro"""	12	0
"""Hydro"	"""""Hydro"""	12	0
Unless	"""Unless"""	12	2
file	"""file"""	12	7
Hydro	"""Hydro"""	12	0
Hydro	"""Hydro"""	12	0
CFOL	"""CFOL"""	12	5
In	"""In"""	12	2
In	"""In"""	12	2
On	"""On"""	12	2
In	"""In"""	12	2
CFOL	"""CFOL"""	12	2
CFOL	"""CFOL"""	12	2
In	"""In"""	12	0
CFOL	"""CFOL"""	12	2
CFOL	"""CFOL"""	12	5
CFOL	"""CFOL"""	12	2
CFOL	"""CFOL"""	12	3
Unless	"""Unless"""	12	3
CFOL	"""CFOL"""	12	7
CFOL	"""CFOL"""	12	3
CFOL	"""CFOL"""	12	2
On	"""On"""	12	0
CFOL	"""CFOL"""	12	2
On	"""On"""	12	2
CFOL	"""CFOL"""	12	2
CFOL	"""CFOL"""	12	3
CFOL	"""CFOL"""	12	2
In	"""In"""	12	5
In	"""In"""	12	2
CFOL	"""CFOL"""	12	2
CFOL	"""CFOL"""	12	6
CFOL	"""CFOL"""	12	2
CFOL	"""CFOL"""	12	3
CFOL	"""CFOL"""	12	5
CFOL	"""CFOL"""	12	3
CFOL	"""CFOL"""	12	5
On	"""On"""	12	2
CFOL	"""CFOL"""	12	2
CFOL	"""CFOL"""	12	3
On	"""On"""	12	4
In	"""In"""	12	2
In	"""In"""	12	2
In	"""In"""	12	2
In	"""In"""	12	2
CFOL	"""CFOL"""	12	2
On	"""On"""	12	2
CFOL	"""CFOL"""	12	2
CFOL	"""CFOL"""	12	5
CFOL	"""CFOL"""	12	3
CFOL	"""CFOL"""	12	3
CFOL	"""CFOL"""	12	0
In	"""In"""	12	5
In	"""In"""	12	2
CFOL	"""CFOL"""	12	2
construction	"""construction"""	12	2
Unless	"""Unless"""	12	3
construction	"""construction"""	12	7
construction	"""construction"""	12	0
file	"""file"""	12	0
Westcoast	"""Westcoast"""	12	0
Unless	"""Unless"""	12	4
Westcoast	"""Westcoast"""	12	7
Westcoast	"""Westcoast"""	12	3
Westcoast	"""Westcoast"""	12	5
On	"""On"""	12	0
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	5
	""""""	12	2
	""""""	12	5
Aquatic	"""Aquatic"""	12	6
9	"""9"""	12	2
Prior	"""Prior"""	12	9
	""""""	12	2
Greenhouse	"""Greenhouse"""	12	2
Prior	"""Prior"""	12	2
Heritage	"""Heritage"""	12	5
9	"""9"""	12	5
Construction	"""Construction"""	12	9
construction	"""construction"""	12	6
	""""""	12	2
Updated	"""Updated"""	12	2
Construction	"""Construction"""	12	2
Prior	"""Prior"""	12	5
	""""""	12	2
Ekwan	"""Ekwan"""	12	3
	""""""	12	5
Post-Construction	"""Post-Construction"""	12	7
	""""""	12	2
	""""""	12	0
	""""""	12	2
Emergency	"""Emergency"""	12	2
	""""""	12	4
Prior	"""Prior"""	12	2
	""""""	12	3
	""""""	12	0
Migratory	"""Migratory"""	12	3
If	"""If"""	12	2
EPP;	"""EPP;"""	12	7
file	"""file"""	12	2
Should	"""Should"""	12	0
Should	"""Should"""	12	3
Unless	"""Unless"""	12	3
Enbridge	"""Enbridge"""	12	7
Enbridge	"""Enbridge"""	12	0
Enbridge	"""Enbridge"""	12	0
Should	"""Should"""	12	0
Enbridge	"""Enbridge"""	12	3
Unless	"""Unless"""	12	6
Enbridge	"""Enbridge"""	12	3
The	"""The"""	12	3
The	"""The"""	12	5
For	"""For"""	12	7
The	"""The"""	12	5
For	"""For"""	12	5
The	"""The"""	12	5
The	"""The"""	12	5
construction	"""construction"""	12	5
construction	"""construction"""	12	3
construction	"""construction"""	12	3
construction	"""construction"""	12	0
construction	"""construction"""	12	5
Unless	"""Unless"""	12	0
file	"""file"""	12	7
construction	"""construction"""	12	0
construction	"""construction"""	12	5
file	"""file"""	12	3
Unless	"""Unless"""	12	3
construction	"""construction"""	12	7
construction	"""construction"""	12	2
construction	"""construction"""	12	0
file	"""file"""	12	4
construction	"""construction"""	12	0
construction	"""construction"""	12	5
1.	"""1."""	12	0
Trans	"""Trans"""	12	3
file	"""file"""	12	0
Unless	"""Unless"""	12	0
Trans	"""Trans"""	12	7
Trans	"""Trans"""	12	0
construction	"""construction"""	12	0
file	"""file"""	12	3
construction	"""construction"""	12	0
file	"""file"""	12	0
construction	"""construction"""	12	0
construction	"""construction"""	12	0
construction	"""construction"""	12	2
Unless	"""Unless"""	12	2
construction	"""construction"""	12	7
construction	"""construction"""	12	5
construction	"""construction"""	12	2
construction	"""construction"""	12	4
construction	"""construction"""	12	0
Transportation	"""Transportation"""	12	6
FLC	"""FLC"""	12	8
Fracture	"""Fracture"""	12	5
Access	"""Access"""	12	3
"Aboriginal,"	"""Aboriginal,"""	12	2
Construction	"""Construction"""	12	5
List	"""List"""	12	2
Overpressure	"""Overpressure"""	12	5
