nothing	time	filler			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	2			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	2			
construction	12	3			
construction	12	4			
construction	12	3			
construction	12	3			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	6			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	2			
construction	12	3			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	5			
construction	12	5			
construction	12	3			
construction	12	3			
construction	12	2			
construction	12	6			
construction	12	3			
construction	12	6			
construction	12	2			
construction	12	3			
construction	12	0			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	5			
construction	12	4			
construction	12	2			
construction	12	3			
construction	12	2			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	0			
construction	12	6			
construction	12	3			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	0			
construction	12	5			
construction	12	7			
construction	12	5			
construction	12	5			
construction	12	8			
construction	12	2			
construction	12	4			
construction	12	4			
construction	12	3			
construction	12	2			
construction	12	2			
construction	12	3			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	3			
construction	12	2			
construction	12	3			
construction	12	6			
construction	12	5			
construction	12	0			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	3			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	3			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	7			
construction	12	2			
construction	12	2			
construction	12	3			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	0			
construction	12	9			
construction	12	2			
construction	12	2			
construction	12	7			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	6			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	4			
construction	12	0			
construction	12	0			
construction	12	2			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	7			
construction	12	5			
construction	12	5			
construction	12	1			
construction	12	3			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	1			
construction	12	5			
construction	12	2			
construction	12	4			
construction	12	2			
construction	12	0			
construction	12	2			
construction	12	3			
construction	12	2			
construction	12	3			
construction	12	6			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	7			
construction	12	3			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	9			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	0			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	0			
construction	12	0			
construction	12	5			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	2			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	2			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	0			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	3			
construction	12	3			
construction	12	7			
construction	12	3			
construction	12	2			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	3			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	6			
construction	12	2			
construction	12	3			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	3			
construction	12	4			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	3			
construction	12	0			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	3			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	4			
construction	12	7			
construction	12	3			
construction	12	5			
construction	12	0			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	6			
construction	12	2			
construction	12	9			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	5			
construction	12	9			
construction	12	6			
construction	12	2			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	3			
construction	12	5			
construction	12	7			
construction	12	2			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	4			
construction	12	2			
construction	12	3			
construction	12	0			
construction	12	3			
construction	12	2			
construction	12	7			
construction	12	2			
construction	12	0			
construction	12	3			
construction	12	3			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	3			
construction	12	6			
construction	12	3			
construction	12	3			
construction	12	5			
construction	12	7			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	5			
construction	12	3			
construction	12	3			
construction	12	0			
construction	12	5			
construction	12	0			
construction	12	7			
construction	12	0			
construction	12	5			
construction	12	3			
construction	12	3			
construction	12	7			
construction	12	2			
construction	12	0			
construction	12	4			
construction	12	0			
construction	12	5			
construction	12	0			
construction	12	3			
construction	12	0			
construction	12	0			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	3			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	2			
construction	12	2			
construction	12	7			
construction	12	5			
construction	12	2			
construction	12	4			
construction	12	0			
construction	12	6			
construction	12	8			
construction	12	5			
construction	12	3			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	3			
construction	12	2			
construction	12	8			
construction	12	3			
construction	12	5			
construction	12	0			
construction	12	4			
construction	12	5			
construction	12	10			
construction	12	8			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	8			
construction	12	4			
construction	12	3			
construction	12	3			
construction	12	2			
construction	12	3			
construction	12	2			
construction	12	2			
construction	12	3			
construction	12	3			
construction	12	4			
construction	12	2			
construction	12	3			
construction	12	5			
construction	12	3			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	4			
construction	12	9			
construction	12	2			
construction	12	3			
construction	12	4			
construction	12	4			
construction	12	3			
construction	12	5			
construction	12	4			
construction	12	3			
construction	12	6			
construction	12	3			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	0			
construction	12	2			
construction	12	3			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	2			
construction	12	3			
construction	12	4			
construction	12	2			
construction	12	7			
construction	12	3			
construction	12	2			
construction	12	4			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	2			
construction	12	5			
construction	12	10			
construction	12	2			
construction	12	4			
construction	12	5			
construction	12	4			
construction	12	6			
construction	12	5			
construction	12	3			
construction	12	3			
construction	12	2			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	3			
construction	12	4			
construction	12	2			
construction	12	4			
construction	12	5			
construction	12	2			
construction	12	4			
construction	12	4			
construction	12	2			
construction	12	5			
construction	12	5			
construction	12	2			
construction	12	0			
construction	12	8			
construction	12	2			
construction	12	4			
construction	12	5			
construction	12	7			
construction	12	4			
construction	12	2			
construction	12	4			
construction	12	8			
construction	12	5			
construction	12	2			
construction	12	4			
construction	12	2			
construction	12	0			
construction	12	5			
construction	12	3			
construction	12	5			
construction	12	5			
construction	12	4			
construction	12	4			
construction	12	5			
construction	12	0			
construction	12	2			
construction	12	0			
construction	12	5			
construction	12	2			
construction	12	5			
construction	12	5			
construction	12	8			
construction	12	0			
construction	12	3			
construction	12	7			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	5			
construction	12	5			
construction	12	7			
construction	12	5			
construction	12	5			
construction	12	0			
construction	12	7			
construction	12	7			
construction	12	3			
construction	12	0			
construction	12	7			
construction	12	0			
construction	12	6			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	3			
construction	12	7			
construction	12	0			
construction	12	0			
construction	12	0			
construction	12	3			
construction	12	7			
construction	12	0			
